seeds: 2637529854 223394899 3007537707 503983167 307349251 197383535 3543757609 276648400 2296792159 141010855 116452725 5160533 2246652813 49767336 762696372 160455077 3960442213 105867001 1197133308 38546766

seed-to-soil map:
0 30748436 478556776
478556776 890067010 231802530
710359306 576061773 314005237
1024364543 1121869540 764570177
1788934720 0 30748436
1819683156 509305212 66756561

soil-to-fertilizer map:
0 307861200 20630293
20630293 205631872 9874406
30504699 101283437 22743985
53248684 215506278 92354922
145603606 166806183 38825689
184429295 124027422 42778761
227208056 0 101283437
730037950 2201866248 85080413
815118363 1688321922 16510291
831628654 3866378386 136388361
968017015 3370246093 57414778
1025431793 3427660871 222644158
1248075951 2775815067 134229501
1382305452 2065165179 3778774
1386084226 4200760960 31124145
1417208371 1449362522 198452012
1615660383 3128249668 130118355
1745778738 3272163457 98082636
1843861374 3725216194 31617428
1875478802 3756833622 5808881
1881287683 1988934358 76230821
1957518504 1068122989 5679728
1963198232 3098529992 29719676
1992917908 4002766747 184714231
2177632139 4231885105 34559601
2212191740 2910044568 188485424
2400677164 1023403912 44719077
2445396241 816829001 206574911
2651971152 3650305029 74911165
2726882317 4266444706 28522590
2755404907 1647814534 40507388
2795912295 1389905204 59457318
2855369613 1073802717 8286129
2863655742 1884082338 104852020
2968507762 2068943953 132922295
3101430057 730037950 86791051
3188221108 1082088846 236214696
3424435804 4187480978 13279982
3437715786 2286946661 488868406
3926584192 1318303542 71601662
3998185854 3762642503 103735883
4101921737 3258368023 13795434
4115717171 1704832213 179250125

fertilizer-to-water map:
0 2087573570 24184027
24184027 1102417398 28242751
52426778 0 42548209
94974987 341413667 68297761
163272748 80266080 177461896
340734644 1624436234 425409284
766143928 2147127897 113763545
879907473 764333687 133165492
1013072965 2111757597 35370300
1048443265 602610298 120067608
1168510873 722677906 36277136
1204788009 970813056 131604342
1336392351 257727976 5651080
1342043431 1130660149 221037234
1563080665 758955042 5378645
1568459310 42548209 37717871
1606177181 2049845518 37728052
1643905233 409711428 106245540
1750150773 263379056 78034611
1828185384 897499179 73313877
1901499261 2260891442 30538901
1932038162 1351697383 272738851
2204777013 515956968 23731204
2228508217 539688172 62922126
2317094055 2628693938 80884528
2397978583 3434006892 60193947
2458172530 4127689236 75319800
2533492330 3494200839 307540517
2841032847 2709578466 18949024
2859981871 4203009036 91958260
2951940131 3927342522 87480089
3039420220 2338591428 290102510
3329522730 2799034919 104413657
3433936387 2728527490 70507429
3504443816 3801741356 19441920
3523885736 4014822611 112866625
3636752361 3821183276 106159246
3742911607 2903448576 530558316
4273469923 2317094055 21497373

water-to-light map:
0 130098134 71899121
71899121 201997255 39056119
110955240 241053374 38164682
149119922 0 130098134
496126127 1366401345 54786206
550912333 2299639191 16781380
567693713 1443415170 43496402
611190115 1486911572 64097482
675287597 4169571318 125395978
800683575 2316420571 309194103
1109877678 2647277659 20201672
1130079350 865464335 199943985
1330023335 1421187551 22227619
1352250954 496126127 4303283
1356554237 502551806 141937700
1498491937 2667479331 11999801
1510491738 1551009054 208987333
1719479071 4141978550 27592768
1747071839 1759996387 105111897
1852183736 3256553708 6224195
1858407931 727333449 12339364
1870747295 791060221 18793056
1889540351 644489506 82843943
1972384294 809853277 55611058
2027995352 1865108284 66157866
2094153218 1065408320 14844701
2108997919 4080669158 61309392
2170307311 2679479132 41006431
2211313742 4025672872 54996286
2266310028 3923624438 22760068
2289070096 3946384506 79288366
2368358462 2236802000 62837191
2431195653 1273931904 92469441
2523665094 3878500457 34541659
2558206753 3247863932 8689776
2566896529 1931266150 305535850
2872432379 3633289978 245210479
3117642858 3262777903 370512075
3488154933 3913042116 10582322
3498737255 3217956599 29907333
3528644588 1080253021 193678883
3722323471 2720485563 269982235
3992305706 2625614674 21662985
4013968691 739672813 51387408
4065356099 2990467798 226875633
4292231732 3217343431 613168
4292844900 500429410 2122396

light-to-temperature map:
0 1671284 46634343
46634343 2549881333 28101043
74735386 1566215004 432089996
506825382 1211085022 100001399
606826781 48305627 403771586
1010598367 3054998249 204653102
1215251469 1998305000 118258255
1333509724 2683491079 149503000
1483012724 2119418493 4511220
1487523944 2344091207 205790126
1693314070 534124760 353472807
2046786877 3309446729 95808859
2142595736 2832994079 104385404
2246981140 2123929713 26608756
2273589896 3259651351 49795378
2323385274 2937379483 117618766
2441004040 1311086421 255128583
2696132623 887597567 323487455
3019620078 2577982376 105508703
3125128781 522041548 6112539
3131241320 452077213 69964335
3201205655 0 1671284
3202876939 2150538469 193552738
3396429677 528154087 5970673
3402400350 2116563255 2855238
4100438569 4209824659 85142637
4185581206 4100438569 109386090

temperature-to-humidity map:
0 1046981232 59945578
59945578 717988362 197098232
257043810 1628903919 98391269
355435079 1106926810 521977109
877412188 0 717988362
1595400550 915086594 131894638
3115915735 3825097816 469869480
3585785215 3115915735 709182081

humidity-to-location map:
0 413575139 138173954
138173954 4119345931 87369816
225543770 4100328990 5722049
231265819 49632084 363943055
595208874 2352115884 297535210
892744084 3060513252 374898716
1267642800 3435411968 22064409
1289707209 0 49632084
1339339293 864931319 538278516
1877617809 1403209835 150658569
2028276378 1553868404 798247480
2826523858 2649651094 205250361
3031774219 2854901455 205611797
3237386016 3457476377 642852613
3880238629 4106051039 13294892
3893533521 551749093 313182226
